source_player_id,name_ja,stratum,gold_pathway_category,gold_final_institution,evidence_url,evidence_note,determination,researched_at
7667,三浦 旭人,B_auto_high_conf,university,順天堂大学,https://www.fansaka.info/player/J378B1/,"横浜F・マリノスJrユース/ユースを経て順天堂大学(2007・2009年リーグ戦出場)在籍、大学卒業後ガイナーレ鳥取入団。",confirmed,2026-07-19
2984,數馬 正浩,B_auto_high_conf,j_club_academy,横浜F・マリノスユース,https://www.f-marinos.com/team/academy/graduate,マリノス公式アカデミー出身者リストの「ユース出身のJリーガー」1982年生まれ欄に「數馬正浩 横浜FM-仙台」と記載。高校卒業後2001年トップ昇格。,confirmed,2026-07-19
6823,石田 雅人,B_auto_high_conf,high_school,奈良育英高校,https://www.fansaka.info/player/J334H3/,データベースに「東市FC、都南中、奈良育英高を経て横浜FC」と記載。高校卒業後2002年横浜FC入団。,confirmed,2026-07-19
5990,松裏 英明,B_needs_review,undeterminable,,,ジュビロ磐田ユース時代を経て「ウルグアイ留学」を経由し2001年ヴァンフォーレ甲府加入、という記述が複数見られるが外部ソースでの詳細裏付けが取れず、ウルグアイでの所属実態(学校か クラブか)も不明のため指定カテゴリに当てはめ不能。,undeterminable,2026-07-19
8107,古田 泰士,B_unknown_label,university,大阪体育大学,https://www.vortis.jp/news/7136/,徳島ヴォルティス公式加入発表記事に「奈良県立耳成高校」「大阪体育大学」と経歴記載。大学卒業後2005年徳島ヴォルティス加入。,confirmed,2026-07-19
9677,山内 祐一,B_unknown_label,university,福岡大学,https://www.fansaka.info/player/J34AQ1/,データベースに「京陵中学校-大津高校-福岡大学」と記載。大学卒業後2007年ロアッソ熊本入団。,confirmed,2026-07-19
5919,杉本 圭,B_no_confirmed_article,j_club_academy,湘南ベルマーレユース,https://www.bellmare.co.jp/academy/pro,ベルマーレ公式「アカデミー出身のプロ選手」1982/1983年生カテゴリに「杉本圭【ジュニアユース・ユース出身】」と記載。2000年トップ昇格。,confirmed,2026-07-19
6811,前田 和也,B_no_confirmed_article,high_school,佐野日大高校,https://sanofootball.com/?page_id=7578,佐野フットボールアカデミー公式スタッフ紹介ページに「佐野西中学校から佐野日大高校へ進学」「高校卒業後FC東京」と経歴記載。,confirmed,2026-07-19
8505,中野 裕太,B_no_confirmed_article,undeterminable,,,知多SCからサンフレッチェ広島ユースを経て2008年横浜FC入団、との記述が複数見られるが、いずれもWikipedia由来とみられ独立した外部ソースでの裏付けが取れず判定不能。,undeterminable,2026-07-19
6367,髙橋 健史,C_auto_high_conf,undeterminable,,,ガンバ大阪ユース(中学から)-立命館大学(総理大臣杯優勝)-徳島ヴォルティスという経歴の記述が複数見られるが、いずれもWikipedia由来とみられ独立した外部ソースでの裏付けが取れず判定不能。立命館大学公式サイトの2006年総理大臣杯優勝記事も選手名までは確認できず。,undeterminable,2026-07-19
11144,田中 パウロ淳一（田中 淳一）,C_auto_high_conf,high_school,大阪桐蔭高校,https://kerimichi.com/tanaka-paulo-junichi/,米田SC-兵庫FC-サルパFC Jrユースを経て大阪桐蔭高校サッカー部へ進学、高校卒業後2012年川崎フロンターレ入団と記載。,confirmed,2026-07-19
6850,千葉 真也,C_auto_high_conf,high_school,仙台育英高校,https://www.fansaka.info/player/J33532/,データベースに「蒲町中-仙台育英高」と経歴記載。高校卒業後2002年アルビレックス新潟でJ2リーグ1試合出場。,confirmed,2026-07-19
10882,松浦 勇武,C_auto_high_conf,high_school,浜松開誠館高校,https://kaiseikanfc.jp/ob/,浜松開誠館フットボールクラブ公式OBリストに「松浦勇武(3期生) 浜松開誠館中→浜松開誠館高→湘南ベルマーレ→FC琉球」と記載。,confirmed,2026-07-19
7877,福島 新太,C_auto_high_conf,j_club_academy,名古屋グランパスエイトユース,https://web.gekisaka.jp/player/?33433-8815-jp=,ゲキサカ選手ページに経歴「名古屋U18-名古屋-徳島-ヴェルスパ大分」と記載。U-12からU-18まで一貫して名古屋グランパスの下部組織に所属し2007年トップ昇格。中部大学第一高校は提携通学先。,confirmed,2026-07-19
11469,三渡洲 舞人,C_auto_high_conf,high_school,流通経済大学付属柏高校,https://www.verdy.co.jp/news/1341,東京ヴェルディ公式加入発表記事に経歴「清水第八SC→サンパウロFC(ブラジル)→清水エスパルスジュニアユース→流通経済大学付属柏高校」と記載。高校卒業後怪我とモデル活動を経て2013年東京ヴェルディ入団。,confirmed,2026-07-19
7522,福本 尚純,C_needs_review,university,立命館大学,https://www.fansaka.info/player/J375A0/,データベースに「玉野FC-サンフレッチェ広島ユース-立命館大学(2006年出場)-ファジアーノ岡山」と記載。大学経由で2010年ファジアーノ岡山入団。,confirmed,2026-07-19
9638,吉原 正人,C_needs_review,j_club_academy,アビスパ福岡ユース,https://avispaflag.com/player-date.html?player_id=0242,アビスパ福岡ファンサイトに「出身校:九産大付属九州高校、前所属:アビスパ福岡U-18」と記載。U-12から一貫育成、2010年トップ昇格。高校は提携通学先。,confirmed,2026-07-19
9156,石原 卓,C_needs_review,high_school,中京大付属中京高校,https://web.gekisaka.jp/news/jleague/detail/?22524-3344-fl,ゲキサカ記事に「名古屋市立天白小学校(八事FC)-名古屋市立天白中学校(名古屋グランパスジュニアユース)-中京大付属中京高校」の経歴で横浜F・マリノス新加入と記載。同年徳島ヴォルティスへ期限付き移籍。大学(中京大学)進学はプロ入り後(2009年)。,confirmed,2026-07-19
8133,中村 友亮,C_needs_review,high_school,静岡学園高校,https://www.fansaka.info/player/J36A61/,データベースに「静岡学園高」出身、高校卒業後ヴィッセル神戸、と記載。,confirmed,2026-07-19
6209,山田 祥史,C_unknown_label,j_club_academy,アビスパ福岡ユース,https://www.fansaka.info/player/J31B40/,データベースに「アビスパ福岡U-18、アビスパ福岡、大塚製薬」と経歴記載。ユースからトップ昇格。,confirmed,2026-07-19
8611,市原 大嗣,C_unknown_label,high_school,大津高校,https://web.gekisaka.jp/player/?33809-9323-jp,ゲキサカ選手ページに「経歴=大津高-大分-鳥栖-...」と記載。高校卒業後大分トリニータ入団。,confirmed,2026-07-19
8461,松浦 敦史,C_unknown_label,university,阪南大学,https://www.hannan-u.ac.jp/club/mrrf43000000z4fm.html,阪南大学公式サイトのJリーガー輩出実績リストNo.18に「松浦敦史 ヴォルティス徳島」と記載(大学卒業後加入チームのみ記載する方針のページ)。,confirmed,2026-07-19
9051,栗山 裕貴,C_unknown_label,high_school,ルーテル学院高等学校,https://fansaka.info/player/J389F0/,データベースに「矢部ジュニアSC-ルーテル学院中学校-ルーテル学院高等学校」と経歴記載。高校卒業後サガン鳥栖入団。,confirmed,2026-07-19
9670,河野 健一,C_unknown_label,university,日本文理大学,https://www.fansaka.info/player/J329F1/,データベースに「赤目中学校-津工業高等学校-日本文理大学」と経歴記載。大学卒業後ロアッソ熊本入団。,confirmed,2026-07-19
6429,田中 大輔,C_no_confirmed_article,high_school,滋賀県立野洲高等学校,https://highschool-rank.net/00002573_00000215.htm,野洲高校出身サッカー選手リストに「1983年1月6日生まれ。元サッカー選手（清水エスパルス→徳島ヴォルティス）」と記載。生年月日・所属クラブがロスターと一致。,confirmed,2026-07-19
6023,高橋 宏幸,C_no_confirmed_article,high_school,流通経済大学付属柏高校,https://fansaka.info/player/J33561/,データベースに「流通経済大付属柏高-読売日本サッカークラブ・レスチ-東京ヴェルディ1969」と経歴記載。,confirmed,2026-07-19
6903,中村 豪,C_no_confirmed_article,j_club_academy,ジュビロ磐田ユース,https://www.fansaka.info/player/J36BT0/,データベースに「白鳥JSC-ジョカトーレ関-ジュビロ磐田ユース-ジュビロ磐田」と経歴記載。ユースからトップ昇格(磐田東高校は提携通学先)。,confirmed,2026-07-19
10907,加部 未蘭,C_no_confirmed_article,high_school,山梨学院大学附属高校,https://www.fansaka.info/player/J426H0/,データベースに「サンデーSC-FC東京U-15むさし-山梨学院大附属高-ヴァンフォーレ甲府」と経歴記載。高校卒業後2011年甲府入団。プロ入り後の2013年に福岡大進学は最初のプロ契約より後。,confirmed,2026-07-19
6087,加藤 寿一,C_no_confirmed_article,high_school,如水館高校,https://avispaflag.com/player-date.html?player_id=0136,アビスパ福岡ファンサイトに「如水館高校出身で高校卒業後にアビスパ福岡に入団」「2000年から2003年在籍」と記載。生年月日(1981/05/28)がロスターと一致。,confirmed,2026-07-19
10978,田中 俊一,C_no_confirmed_article,university,大阪教育大学,https://ameblo.jp/kss-press/entry-10746402838.html,関西学生サッカーPRESSの記事に「田中俊一選手は大阪教育大学(大教大)で活躍し、同校の背番号10」「国立大の星」と記載。大学からロアッソ熊本入団内定。,confirmed,2026-07-19
6414,石橋 直希,X_topup,undeterminable,,https://www.fansaka.info/player/J315E0/,データベースに「浦和レッズJrユース-クラブアルマグロ(アルゼンチン)-横浜FC-サガン鳥栖-アローズ北陸」と経歴記載。ジュニアユース後にアルゼンチンのクラブに所属しており、最初のJクラブ入団(横浜FC)直前の所属が海外クラブのため指定カテゴリに当てはめ不能。,undeterminable,2026-07-19
3071,籾谷 真弘,X_topup,j_club_academy,セレッソ大阪ユース,https://www.jfa.jp/social_action_programme/yumesen/pdf/momitani_masahiro.pdf,日本サッカー協会公式「夢先生プロフィール」に「2000年にセレッソ大阪U-18(18歳以下)からトップチームに昇格。DFとしてプレー」と記載。2002年ザスパ草津(当時群馬県社会人リーグ)へ移籍、2005年J2昇格。,confirmed,2026-07-19
